name,club,position,nationality
Gabriel Paulista,Arsenal,CB,Brazil
David Luiz,Chelsea,CB,Brazil
Gabriel Jesus,Manchester+City,CF,Brazil
Lucas Leiva,Liverpool,DM,Brazil
Fernandinho,Manchester+City,DM,Brazil
Fernando,Manchester+City,DM,Brazil
Ederson Moraes,Manchester+City,GK,Brazil
Heurelho Gomes,Watford,GK,Brazil
Kenedy,Chelsea,LB,Brazil
Willian,Chelsea,RW,Brazil
Roberto Firmino,Liverpool,SS,Brazil
Jason Puncheon,Crystal+Palace,AM,England
Ross Barkley,Everton,AM,England
Kasey Palmer,Huddersfield,AM,England
Adam Lallana,Liverpool,AM,England
Rob Holding,Arsenal,CB,England
Steve Cook,Bournemouth,CB,England
Tyrone Mings,Bournemouth,CB,England
Lewis Dunk,Brighton+and+Hove,CB,England
Connor Goldson,Brighton+and+Hove,CB,England
Ben Mee,Burnley,CB,England
James Tarkowski,Burnley,CB,England
Gary Cahill,Chelsea,CB,England
James Tomkins,Crystal+Palace,CB,England
Scott Dann,Crystal+Palace,CB,England
Michael Keane,Everton,CB,England
Phil Jagielka,Everton,CB,England
Mason Holgate,Everton,CB,England
Matthew Pennington,Everton,CB,England
Martin Cranie,Huddersfield,CB,England
Mark Hudson,Huddersfield,CB,England
Harry Maguire,Leicester+City,CB,England
Joe Gomez,Liverpool,CB,England
John Stones,Manchester+City,CB,England
Phil Jones,Manchester+United,CB,England
Chris Smalling,Manchester+United,CB,England
Axel Tuanzebe,Manchester+United,CB,England
Lascelles,Newcastle+United,CB,England
Jack Stephens,Southampton,CB,England
Jason McCarthy,Southampton,CB,England
Ryan Shawcross,Stoke+City,CB,England
Alfie Mawson,Swansea,CB,England
Danny Welbeck,Arsenal,CF,England
Jermain Defoe,Bournemouth,CF,England
Callum Wilson,Bournemouth,CF,England
Glenn Murray,Brighton+and+Hove,CF,England
Sam Baldock,Brighton+and+Hove,CF,England
Andre Gray,Burnley,CF,England
Ashley Barnes,Burnley,CF,England
Connor Wickham,Crystal+Palace,CF,England
Jamie Vardy,Leicester+City,CF,England
Daniel Sturridge,Liverpool,CF,England
Danny Ings,Liverpool,CF,England
Dominic Solanke,Liverpool,CF,England
Marcus Rashford,Manchester+United,CF,England
Dwight Gayle,Newcastle+United,CF,England
Charlie Austin,Southampton,CF,England
Peter Crouch,Stoke+City,CF,England
Saido Berahino,Stoke+City,CF,England
Tammy Abraham,Swansea,CF,England
Harry Kane,Tottenham,CF,England
Troy Deeney,Watford,CF,England
Jay Rodriguez,West+Brom,CF,England
Andy Carroll,West+Ham,CF,England
Ashley Fletcher,West+Ham,CF,England
Jack Wilshere,Arsenal,CM,England
Dan Gosling,Bournemouth,CM,England
Andrew Surman,Bournemouth,CM,England
Lewis Cook,Bournemouth,CM,England
Dale Stephens,Brighton+and+Hove,CM,England
Steve Sidwell,Brighton+and+Hove,CM,England
Dean Marney,Burnley,CM,England
Ruben Loftus-Cheek,Crystal+Palace,CM,England
